Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1731.9115259545667
FDW14,OUT017,1534.0741487664063
NCN55,OUT010,2887.4129810026393
FDQ58,OUT017,2455.1216353351433
FDY38,OUT027,5840.571415044253
FDH56,OUT046,2158.283849114522
FDL48,OUT018,1228.5415206030152
FDC48,OUT027,2556.221119638817
FDN33,OUT045,1731.9115259545667
FDA36,OUT017,3427.2921555053617
FDT44,OUT017,2170.505417155173
FDQ56,OUT045,1534.0741487664063
NCC54,OUT019,2268.9653767195873
FDU11,OUT049,2447.522865795206
DRL59,OUT013,1344.6559665236055
FDM24,OUT049,2609.008114770312
FDI57,OUT045,3667.372092705895
DRC12,OUT018,3354.5576251303514
NCM42,OUT027,2880.4054543307075
FDA46,OUT010,2455.1216353351433
FDA31,OUT013,3354.5576251303514
NCJ31,OUT035,4270.767236082471
FDG52,OUT046,1344.6559665236055
NCL19,OUT019,1731.9115259545667
FDS10,OUT035,3719.537445442168
FDX22,OUT010,3354.5576251303514
NCF19,OUT035,1367.9724074074072
NCE06,OUT046,3052.8852631015943
DRC27,OUT046,4619.051718753353
FDE21,OUT035,2158.283849114522
NCR42,OUT019,1052.6176945454545
FDX51,OUT018,3354.5576251303514
NCR06,OUT018,1228.5415206030152
FDU31,OUT027,5654.037285217387
FDU59,OUT017,3269.532070498075
FDR03,OUT027,5531.419343458634
FDS49,OUT027,2410.4524967213097
FDD48,OUT010,1731.9115259545667
NCF18,OUT017,3571.4223195454533
NCD43,OUT027,2880.4054543307075
NCD54,OUT018,2158.283849114522
FDY19,OUT010,1731.9115259545667
NCY54,OUT017,3369.676037224761
NCL19,OUT018,2170.505417155173
FDP23,OUT010,2887.4129810026393
FDC26,OUT013,2106.5235060489
FDR14,OUT010,1052.6176945454545
NCS41,OUT035,3465.84214391891
FDF41,OUT035,4198.7524090509
FDU34,OUT046,2170.505417155173
DRH11,OUT046,1344.6559665236055
FDM03,OUT013,1731.9115259545667
FDS31,OUT017,3427.2921555053617
FDJ20,OUT017,2447.522865795206
FDV44,OUT027,5270.670954761906
FDG02,OUT049,3667.372092705895
FDA09,OUT013,3427.2921555053617
FDT04,OUT013,1228.5415206030152
FDL58,OUT019,1923.8258201970402
FDE52,OUT045,1614.3191216509742
FDW12,OUT035,2455.1216353351433
FDL51,OUT017,4004.3782044744016
NCY42,OUT027,3794.4971256038684
FDR07,OUT017,1731.9115259545667
FDN40,OUT045,2609.008114770312
FDB35,OUT027,2556.221119638817
FDA22,OUT017,3269.532070498075
NCL06,OUT046,5408.817426374263
FDI35,OUT013,3369.676037224761
NCW42,OUT045,4004.3782044744016
NCX06,OUT049,3427.2921555053617
FDC37,OUT027,2880.4054543307075
FDZ14,OUT018,2170.505417155173
DRG49,OUT049,4198.7524090509
NCG06,OUT045,5288.675986157371
DRC36,OUT045,3427.2921555053617
FDV21,OUT019,1731.9115259545667
FDB53,OUT046,2556.221119638817
DRP47,OUT019,2268.9653767195873
FDA14,OUT013,2455.1216353351433
DRC24,OUT035,2825.8951546162325
FDW21,OUT018,1694.1995558080828
NCH29,OUT046,1731.9115259545667
FDU58,OUT013,4136.639809204343
FDY27,OUT017,3427.2921555053617
FDV56,OUT035,1731.9115259545667
FDT59,OUT046,4119.010667103939
FDB23,OUT046,3719.8763989784147
FDR49,OUT045,1344.6559665236055
